version,get_latency,put_latency,get_throughput,put_throughput
2001,0.54071,0.400541,14795.4,19973
2002,0.506191,0.387832,15804.3,20627.5
2003,0.492468,0.47215,16244.7,16943.8
2004,0.46737,0.375628,17117.1,21297.7
2005,0.480388,0.384402,16653.2,20811.5
2006,0.482151,0.39445,16592.3,20281.4
2007,0.479912,0.382679,16669.7,20905.2
2008,0.4692,0.375941,17050.3,21279.9
2009,0.454342,0.374292,17607.9,21373.7
2010,0.438934,0.374977,18226,21334.6
2011,0.438556,0.373462,18241.7,21421.2
2012,0.432038,0.470599,18516.9,16999.6
2013,0.428717,0.376348,18660.3,21256.9
2014,0.424701,0.376609,18836.8,21242.2
2015,0.425319,0.379847,18809.4,21061.1
2016,0.421175,0.379814,18994.5,21062.9
2017,0.429911,0.382636,18608.5,20907.6
2018,0.433639,0.385504,18448.5,20752.1
2019,0.436315,0.385071,18335.4,20775.4
2020,0.426926,0.386381,18738.6,20705
